Metric,Source,sum_sq,df,F,PR(>F),Eta-squared (η²)
Plant Height (cm),C(Fertilizer),3092.828782128367,2.0,33.639674397775316,3.1457296016921203e-12,0.11422220725358359
Plant Height (cm),C(LightExposure),18697.924477661163,2.0,203.37113227130092,1.7234740021762004e-38,-
Plant Height (cm),Residual,5286.54507381742,115.0,-,-,-
Leaf Area (cm²),C(Fertilizer),19516.697898352515,2.0,19.025281930333463,7.279760956549214e-08,0.07617454321992294
Leaf Area (cm²),C(LightExposure),177708.33711395864,2.0,173.23377307844711,2.0045131655178199e-35,-
Leaf Area (cm²),Residual,58985.20364978371,115.0,-,-,-
Chlorophyll Content (SPAD units),C(Fertilizer),772.9067071315859,2.0,14.236001135718352,2.9923622075510264e-06,0.06538535530195579
Chlorophyll Content (SPAD units),C(LightExposure),7926.0724755192,2.0,145.98861120255134,2.7532450898988265e-32,-
Chlorophyll Content (SPAD units),Residual,3121.813157808773,115.0,-,-,-
Root Length (cm),C(Fertilizer),293.0384202981445,2.0,17.8505991864616,1.771802194043602e-07,0.08186013047279495
Root Length (cm),C(LightExposure),2342.777303941207,2.0,142.71158912624813,7.002793773425416e-32,-
Root Length (cm),Residual,943.9296121736129,115.0,-,-,-
Biomass (g),C(Fertilizer),93.05501042255588,2.0,19.948055786742742,3.65423247569938e-08,0.09173223383878995
Biomass (g),C(LightExposure),653.1351610146947,2.0,140.01155412311095,1.5287341219246825e-31,-
Biomass (g),Residual,268.22980427260256,115.0,-,-,-
Flower Count (number),C(Fertilizer),145.19557620228787,2.0,15.855450104420658,8.28970089410185e-07,0.06106522213402697
Flower Count (number),C(LightExposure),1705.9638022037152,2.0,186.29234204838357,8.457609835012418e-37,-
Flower Count (number),Residual,526.5536819609958,115.0,-,-,-
Seed Yield (g),C(Fertilizer),20.10242326909594,2.0,20.81032881966567,1.9333293136596364e-08,0.07481798808543429
Seed Yield (g),C(LightExposure),193.03791619431294,2.0,199.83573407502828,3.776986886538844e-38,-
Seed Yield (g),Residual,55.5440208556775,115.0,-,-,-
Stomatal Conductance (mmol/m²/s),C(Fertilizer),35092.48214271387,2.0,21.626481734277448,1.0651097572482312e-08,0.09295656391598328
Stomatal Conductance (mmol/m²/s),C(LightExposure),249119.25857913232,2.0,153.52499357008148,3.4017474381891636e-33,-
Stomatal Conductance (mmol/m²/s),Residual,93303.09700850949,115.0,-,-,-
